Station,Date(UTC),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
Wellington, Greta Point Cws,29/03/2018 00:00,20.5,1,19.5,1,-,-,19.8,66,1,H
Wellington, Greta Point Cws,29/03/2018 01:00,22.4,1,19.9,1,-,-,20.8,61,1,H
Wellington, Greta Point Cws,29/03/2018 02:00,23.2,1,22.4,1,-,-,22.8,51,1,H
Wellington, Greta Point Cws,29/03/2018 03:00,23.0,1,21.5,1,-,-,22.0,50,1,H
Wellington, Greta Point Cws,29/03/2018 04:00,22.0,1,18.0,1,-,-,19.4,66,1,H
Wellington, Greta Point Cws,29/03/2018 05:00,18.1,1,17.7,1,-,-,17.8,68,1,H
Wellington, Greta Point Cws,29/03/2018 06:00,17.7,1,16.7,1,-,-,17.2,71,1,H
Wellington, Greta Point Cws,29/03/2018 07:00,16.7,1,16.2,1,-,-,16.4,76,1,H
Wellington, Greta Point Cws,29/03/2018 08:00,16.3,1,14.8,1,-,-,15.6,80,1,H
Wellington, Greta Point Cws,29/03/2018 09:00,14.9,1,14.0,1,-,-,14.3,85,1,H
Wellington, Greta Point Cws,29/03/2018 10:00,14.4,1,13.7,1,-,-,14.0,88,1,H
Wellington, Greta Point Cws,29/03/2018 11:00,14.7,1,14.1,1,-,-,14.5,89,1,H
Wellington, Greta Point Cws,29/03/2018 12:00,15.2,1,14.6,1,-,-,15.0,89,1,H
Wellington, Greta Point Cws,29/03/2018 13:00,15.2,1,14.7,1,-,-,14.8,89,1,H
Wellington, Greta Point Cws,29/03/2018 14:00,14.7,1,14.4,1,-,-,14.5,90,1,H
Wellington, Greta Point Cws,29/03/2018 15:00,14.6,1,14.4,1,-,-,14.4,89,1,H
Wellington, Greta Point Cws,29/03/2018 16:00,14.4,1,13.9,1,-,-,14.2,89,1,H
Wellington, Greta Point Cws,29/03/2018 17:00,13.9,1,13.5,1,-,-,13.6,91,1,H
Wellington, Greta Point Cws,29/03/2018 18:00,13.7,1,13.3,1,-,-,13.6,92,1,H
Wellington, Greta Point Cws,29/03/2018 19:00,13.4,1,13.1,1,-,-,13.2,92,1,H
Wellington, Greta Point Cws,29/03/2018 20:00,13.9,1,13.4,1,-,-,13.7,92,1,H
Wellington, Greta Point Cws,29/03/2018 21:00,15.2,1,13.8,1,-,-,14.5,85,1,H
Wellington, Greta Point Cws,29/03/2018 22:00,18.2,1,15.2,1,-,-,17.0,73,1,H
Wellington, Greta Point Cws,29/03/2018 23:00,20.1,1,18.1,1,-,-,19.1,66,1,H
Wellington, Greta Point Cws,30/03/2018 00:00,20.9,1,19.6,1,-,-,20.2,61,1,H
Wellington, Greta Point Cws,30/03/2018 01:00,22.2,1,19.8,1,-,-,21.2,59,1,H
Wellington, Greta Point Cws,30/03/2018 02:00,20.5,1,19.9,1,-,-,20.2,63,1,H
Wellington, Greta Point Cws,30/03/2018 03:00,20.2,1,19.9,1,-,-,20.0,64,1,H
Wellington, Greta Point Cws,30/03/2018 04:00,20.2,1,19.7,1,-,-,19.9,63,1,H
Wellington, Greta Point Cws,30/03/2018 05:00,20.2,1,18.7,1,-,-,19.4,60,1,H
Wellington, Greta Point Cws,30/03/2018 06:00,18.8,1,17.4,1,-,-,18.0,70,1,H
Wellington, Greta Point Cws,30/03/2018 07:00,17.4,1,16.7,1,-,-,17.0,79,1,H
Wellington, Greta Point Cws,30/03/2018 08:00,16.8,1,16.6,1,-,-,16.7,82,1,H
Wellington, Greta Point Cws,30/03/2018 09:00,16.9,1,16.6,1,-,-,16.7,84,1,H
Wellington, Greta Point Cws,30/03/2018 10:00,16.7,1,16.3,1,-,-,16.6,85,1,H
Wellington, Greta Point Cws,30/03/2018 11:00,16.4,1,16.3,1,-,-,16.3,86,1,H
Wellington, Greta Point Cws,30/03/2018 12:00,16.7,1,16.3,1,-,-,16.4,86,1,H
Wellington, Greta Point Cws,30/03/2018 13:00,16.9,1,16.6,1,-,-,16.7,85,1,H
Wellington, Greta Point Cws,30/03/2018 14:00,17.0,1,16.8,1,-,-,16.9,84,1,H
Wellington, Greta Point Cws,30/03/2018 15:00,17.2,1,16.9,1,-,-,17.1,84,1,H
Wellington, Greta Point Cws,30/03/2018 16:00,17.5,1,17.1,1,-,-,17.3,82,1,H
Wellington, Greta Point Cws,30/03/2018 17:00,17.7,1,17.2,1,-,-,17.5,80,1,H
Wellington, Greta Point Cws,30/03/2018 18:00,17.6,1,17.2,1,-,-,17.4,78,1,H
Wellington, Greta Point Cws,30/03/2018 19:00,17.5,1,17.2,1,-,-,17.4,78,1,H
Wellington, Greta Point Cws,30/03/2018 20:00,17.5,1,17.3,1,-,-,17.4,78,1,H
Wellington, Greta Point Cws,30/03/2018 21:00,17.9,1,17.5,1,-,-,17.7,73,1,H
Wellington, Greta Point Cws,30/03/2018 22:00,19.3,1,17.9,1,-,-,18.6,69,1,H
Wellington, Greta Point Cws,30/03/2018 23:00,19.4,1,18.0,1,-,-,18.5,73,1,H
Wellington, Greta Point Cws,31/03/2018 00:00,19.3,1,18.2,1,-,-,18.7,76,1,H
Wellington, Greta Point Cws,31/03/2018 01:00,19.4,1,18.3,1,-,-,18.7,81,1,H
Wellington, Greta Point Cws,31/03/2018 02:00,19.5,1,18.3,1,-,-,18.8,84,1,H
Wellington, Greta Point Cws,31/03/2018 03:00,20.1,1,19.5,1,-,-,19.7,81,1,H
Wellington, Greta Point Cws,31/03/2018 04:00,20.4,1,20.0,1,-,-,20.2,79,1,H
Wellington, Greta Point Cws,31/03/2018 05:00,20.4,1,19.7,1,-,-,20.0,80,1,H
Wellington, Greta Point Cws,31/03/2018 06:00,19.7,1,19.1,1,-,-,19.4,82,1,H
Wellington, Greta Point Cws,31/03/2018 07:00,19.1,1,17.6,1,-,-,18.8,76,1,H
Wellington, Greta Point Cws,31/03/2018 08:00,17.6,1,15.4,1,-,-,16.0,81,1,H
Wellington, Greta Point Cws,31/03/2018 09:00,15.5,1,15.3,1,-,-,15.4,78,1,H
Wellington, Greta Point Cws,31/03/2018 10:00,15.4,1,15.2,1,-,-,15.2,71,1,H
Wellington, Greta Point Cws,31/03/2018 11:00,15.3,1,14.9,1,-,-,15.1,63,1,H
Wellington, Greta Point Cws,31/03/2018 12:00,15.0,1,14.5,1,-,-,14.6,62,1,H
Wellington, Greta Point Cws,31/03/2018 13:00,14.5,1,12.1,1,-,-,13.4,67,1,H
Wellington, Greta Point Cws,31/03/2018 14:00,12.1,1,11.6,1,-,-,11.8,75,1,H
Wellington, Greta Point Cws,31/03/2018 15:00,11.9,1,11.2,1,-,-,11.5,83,1,H
Wellington, Greta Point Cws,31/03/2018 16:00,11.4,1,11.1,1,-,-,11.2,87,1,H
Wellington, Greta Point Cws,31/03/2018 17:00,11.4,1,10.8,1,-,-,11.1,87,1,H
Wellington, Greta Point Cws,31/03/2018 18:00,11.5,1,10.9,1,-,-,11.2,88,1,H
Wellington, Greta Point Cws,31/03/2018 19:00,11.6,1,10.9,1,-,-,11.2,88,1,H
Wellington, Greta Point Cws,31/03/2018 20:00,12.6,1,10.9,1,-,-,11.8,87,1,H
Wellington, Greta Point Cws,31/03/2018 21:00,14.1,1,12.5,1,-,-,13.3,81,1,H
Wellington, Greta Point Cws,31/03/2018 22:00,18.2,1,14.1,1,-,-,16.4,68,1,H
Wellington, Greta Point Cws,31/03/2018 23:00,21.2,1,18.0,1,-,-,19.5,59,1,H
Wellington, Greta Point Cws,01/04/2018 00:00,21.2,1,20.0,1,-,-,20.5,52,1,H
Wellington, Greta Point Cws,01/04/2018 01:00,21.3,1,20.8,1,-,-,21.1,48,1,H
Wellington, Greta Point Cws,01/04/2018 02:00,21.9,1,21.2,1,-,-,21.5,43,1,H
Wellington, Greta Point Cws,01/04/2018 03:00,21.7,1,20.5,1,-,-,21.1,43,1,H
Wellington, Greta Point Cws,01/04/2018 04:00,20.7,1,19.6,1,-,-,20.1,48,1,H
Wellington, Greta Point Cws,01/04/2018 05:00,19.6,1,17.5,1,-,-,18.3,53,1,H
Wellington, Greta Point Cws,01/04/2018 06:00,17.5,1,16.6,1,-,-,16.9,62,1,H
Wellington, Greta Point Cws,01/04/2018 07:00,16.6,1,16.2,1,-,-,16.4,69,1,H
Wellington, Greta Point Cws,01/04/2018 08:00,16.7,1,16.4,1,-,-,16.5,68,1,H
Wellington, Greta Point Cws,01/04/2018 09:00,16.7,1,16.4,1,-,-,16.5,67,1,H
Wellington, Greta Point Cws,01/04/2018 10:00,16.6,1,16.3,1,-,-,16.4,66,1,H
Wellington, Greta Point Cws,01/04/2018 11:00,16.6,1,16.4,1,-,-,16.4,67,1,H
Wellington, Greta Point Cws,01/04/2018 12:00,16.4,1,16.2,1,-,-,16.3,68,1,H
Wellington, Greta Point Cws,01/04/2018 13:00,16.4,1,16.1,1,-,-,16.3,65,1,H
Wellington, Greta Point Cws,01/04/2018 14:00,16.6,1,16.3,1,-,-,16.5,65,1,H
Wellington, Greta Point Cws,01/04/2018 15:00,16.6,1,16.3,1,-,-,16.4,67,1,H
Wellington, Greta Point Cws,01/04/2018 16:00,16.4,1,16.2,1,-,-,16.3,64,1,H
Wellington, Greta Point Cws,01/04/2018 17:00,16.3,1,15.8,1,-,-,16.1,63,1,H
Wellington, Greta Point Cws,01/04/2018 18:00,15.9,1,15.7,1,-,-,15.8,66,1,H
Wellington, Greta Point Cws,01/04/2018 19:00,16.0,1,15.6,1,-,-,15.8,63,1,H
Wellington, Greta Point Cws,01/04/2018 20:00,16.1,1,15.8,1,-,-,16.0,61,1,H
Wellington, Greta Point Cws,01/04/2018 21:00,16.9,1,15.8,1,-,-,16.3,61,1,H
Wellington, Greta Point Cws,01/04/2018 22:00,18.1,1,16.8,1,-,-,17.6,57,1,H
Wellington, Greta Point Cws,01/04/2018 23:00,19.3,1,18.0,1,-,-,18.6,55,1,H
Wellington, Greta Point Cws,02/04/2018 00:00,19.9,1,18.8,1,-,-,19.4,54,1,H
Wellington, Greta Point Cws,02/04/2018 01:00,20.1,1,19.5,1,-,-,19.8,52,1,H
Wellington, Greta Point Cws,02/04/2018 02:00,20.3,1,19.6,1,-,-,20.0,53,1,H
Wellington, Greta Point Cws,02/04/2018 03:00,20.2,1,19.7,1,-,-,19.9,56,1,H
Wellington, Greta Point Cws,02/04/2018 04:00,20.0,1,19.1,1,-,-,19.4,60,1,H
Wellington, Greta Point Cws,02/04/2018 05:00,19.3,1,17.8,1,-,-,18.2,66,1,H
Wellington, Greta Point Cws,02/04/2018 06:00,17.9,1,17.2,1,-,-,17.5,69,1,H
Wellington, Greta Point Cws,02/04/2018 07:00,17.2,1,17.0,1,-,-,17.1,73,1,H
Wellington, Greta Point Cws,02/04/2018 08:00,17.2,1,16.9,1,-,-,17.0,77,1,H
Wellington, Greta Point Cws,02/04/2018 09:00,17.2,1,16.9,1,-,-,17.0,78,1,H
Wellington, Greta Point Cws,02/04/2018 10:00,17.2,1,16.9,1,-,-,17.1,76,1,H
Wellington, Greta Point Cws,02/04/2018 11:00,17.4,1,17.1,1,-,-,17.2,77,1,H
Wellington, Greta Point Cws,02/04/2018 12:00,17.3,1,17.1,1,-,-,17.2,79,1,H
Wellington, Greta Point Cws,02/04/2018 13:00,17.5,1,17.1,1,-,-,17.3,81,1,H
Wellington, Greta Point Cws,02/04/2018 14:00,17.8,1,17.4,1,-,-,17.6,82,1,H
Wellington, Greta Point Cws,02/04/2018 15:00,17.9,1,17.7,1,-,-,17.7,84,1,H
Wellington, Greta Point Cws,02/04/2018 16:00,18.2,1,17.9,1,-,-,17.9,85,1,H
Wellington, Greta Point Cws,02/04/2018 17:00,18.5,1,18.2,1,-,-,18.3,84,1,H
Wellington, Greta Point Cws,02/04/2018 18:00,18.7,1,18.3,1,-,-,18.6,82,1,H
Wellington, Greta Point Cws,02/04/2018 19:00,18.8,1,18.5,1,-,-,18.6,83,1,H
Wellington, Greta Point Cws,02/04/2018 20:00,19.0,1,18.7,1,-,-,18.8,83,1,H
Wellington, Greta Point Cws,02/04/2018 21:00,20.2,1,19.0,1,-,-,19.4,81,1,H
Wellington, Greta Point Cws,02/04/2018 22:00,20.9,1,20.1,1,-,-,20.5,77,1,H
Wellington, Greta Point Cws,02/04/2018 23:00,21.6,1,20.4,1,-,-,21.1,75,1,H
Wellington, Greta Point Cws,03/04/2018 00:00,21.6,1,20.7,1,-,-,21.2,75,1,H
Wellington, Greta Point Cws,03/04/2018 01:00,22.1,1,21.0,1,-,-,21.7,73,1,H
Wellington, Greta Point Cws,03/04/2018 02:00,21.0,1,20.2,1,-,-,20.6,76,1,H
Wellington, Greta Point Cws,03/04/2018 03:00,20.9,1,20.1,1,-,-,20.5,76,1,H
Wellington, Greta Point Cws,03/04/2018 04:00,21.1,1,20.4,1,-,-,20.6,73,1,H
Wellington, Greta Point Cws,03/04/2018 05:00,20.8,1,19.9,1,-,-,20.3,70,1,H
Wellington, Greta Point Cws,03/04/2018 06:00,20.1,1,19.3,1,-,-,19.7,71,1,H
Wellington, Greta Point Cws,03/04/2018 07:00,19.3,1,18.1,1,-,-,18.7,78,1,H
Wellington, Greta Point Cws,03/04/2018 08:00,18.2,1,17.7,1,-,-,17.9,85,1,H
Wellington, Greta Point Cws,03/04/2018 09:00,18.0,1,17.5,1,-,-,17.8,84,1,H
Wellington, Greta Point Cws,03/04/2018 10:00,18.0,1,17.6,1,-,-,17.8,83,1,H
Wellington, Greta Point Cws,03/04/2018 11:00,17.7,1,17.5,1,-,-,17.6,84,1,H
Wellington, Greta Point Cws,03/04/2018 12:00,17.7,1,17.3,1,-,-,17.4,84,1,H
Wellington, Greta Point Cws,03/04/2018 13:00,17.5,1,17.3,1,-,-,17.4,84,1,H
Wellington, Greta Point Cws,03/04/2018 14:00,17.4,1,17.1,1,-,-,17.3,84,1,H
Wellington, Greta Point Cws,03/04/2018 15:00,17.2,1,17.1,1,-,-,17.1,84,1,H
Wellington, Greta Point Cws,03/04/2018 16:00,17.5,1,17.2,1,-,-,17.3,82,1,H
Wellington, Greta Point Cws,03/04/2018 17:00,17.4,1,17.2,1,-,-,17.4,83,1,H
Wellington, Greta Point Cws,03/04/2018 18:00,17.7,1,17.3,1,-,-,17.4,79,1,H
Wellington, Greta Point Cws,03/04/2018 19:00,17.7,1,17.2,1,-,-,17.4,75,1,H
Wellington, Greta Point Cws,03/04/2018 20:00,17.4,1,17.2,1,-,-,17.2,73,1,H
Wellington, Greta Point Cws,03/04/2018 21:00,18.3,1,17.4,1,-,-,17.9,68,1,H
Wellington, Greta Point Cws,03/04/2018 22:00,19.6,1,18.3,1,-,-,19.1,56,1,H
Wellington, Greta Point Cws,03/04/2018 23:00,20.5,1,19.4,1,-,-,20.0,51,1,H
Wellington, Greta Point Cws,04/04/2018 00:00,20.7,1,20.2,1,-,-,20.4,55,1,H
Wellington, Greta Point Cws,04/04/2018 01:00,21.0,1,20.6,1,-,-,20.8,51,1,H
Wellington, Greta Point Cws,04/04/2018 02:00,21.0,1,20.1,1,-,-,20.6,54,1,H
Wellington, Greta Point Cws,04/04/2018 03:00,20.1,1,19.1,1,-,-,19.5,59,1,H
Wellington, Greta Point Cws,04/04/2018 04:00,20.4,1,19.2,1,-,-,19.6,61,1,H
Wellington, Greta Point Cws,04/04/2018 05:00,20.3,1,18.6,1,-,-,19.3,61,1,H
Wellington, Greta Point Cws,04/04/2018 06:00,18.6,1,17.8,1,-,-,18.2,65,1,H
Wellington, Greta Point Cws,04/04/2018 07:00,17.8,1,17.5,1,-,-,17.7,69,1,H
Wellington, Greta Point Cws,04/04/2018 08:00,17.7,1,17.4,1,-,-,17.5,75,1,H
Wellington, Greta Point Cws,04/04/2018 09:00,17.5,1,17.3,1,-,-,17.4,77,1,H
Wellington, Greta Point Cws,04/04/2018 10:00,17.4,1,17.2,1,-,-,17.3,78,1,H
Wellington, Greta Point Cws,04/04/2018 11:00,17.5,1,16.9,1,-,-,17.1,74,1,H
Wellington, Greta Point Cws,04/04/2018 12:00,17.5,1,16.8,1,-,-,17.1,77,1,H
Wellington, Greta Point Cws,04/04/2018 13:00,17.0,1,16.5,1,-,-,16.8,78,1,H
Wellington, Greta Point Cws,04/04/2018 14:00,16.7,1,16.2,1,-,-,16.4,77,1,H
Wellington, Greta Point Cws,04/04/2018 15:00,16.7,1,16.4,1,-,-,16.6,75,1,H
Wellington, Greta Point Cws,04/04/2018 16:00,16.6,1,15.8,1,-,-,16.2,77,1,H
Wellington, Greta Point Cws,04/04/2018 17:00,16.4,1,15.4,1,-,-,15.8,76,1,H
Wellington, Greta Point Cws,04/04/2018 18:00,15.5,1,14.1,1,-,-,14.7,80,1,H
Wellington, Greta Point Cws,04/04/2018 19:00,14.2,1,13.7,1,-,-,14.0,84,1,H
Wellington, Greta Point Cws,04/04/2018 20:00,15.9,1,14.1,1,-,-,14.8,84,1,H
Wellington, Greta Point Cws,04/04/2018 21:00,17.1,1,15.9,1,-,-,16.6,79,1,H
Wellington, Greta Point Cws,04/04/2018 22:00,18.8,1,17.0,1,-,-,18.1,72,1,H
Wellington, Greta Point Cws,04/04/2018 23:00,19.9,1,18.6,1,-,-,19.2,68,1,H
Wellington, Greta Point Cws,05/04/2018 00:00,19.9,1,19.0,1,-,-,19.4,64,1,H
Wellington, Greta Point Cws,05/04/2018 01:00,19.0,1,18.6,1,-,-,18.8,68,1,H
Wellington, Greta Point Cws,05/04/2018 02:00,19.1,1,18.6,1,-,-,18.8,69,1,H
Wellington, Greta Point Cws,05/04/2018 03:00,19.6,1,18.7,1,-,-,19.2,67,1,H
Wellington, Greta Point Cws,05/04/2018 04:00,19.6,1,18.6,1,-,-,19.2,66,1,H
Wellington, Greta Point Cws,05/04/2018 05:00,19.4,1,17.9,1,-,-,18.6,64,1,H
Wellington, Greta Point Cws,05/04/2018 06:00,18.0,1,17.0,1,-,-,17.3,70,1,H
Wellington, Greta Point Cws,05/04/2018 07:00,17.0,1,15.3,1,-,-,16.1,71,1,H
Wellington, Greta Point Cws,05/04/2018 08:00,16.0,1,15.4,1,-,-,15.6,76,1,H
Wellington, Greta Point Cws,05/04/2018 09:00,15.7,1,15.3,1,-,-,15.4,81,1,H
Wellington, Greta Point Cws,05/04/2018 10:00,16.3,1,15.3,1,-,-,16.0,79,1,H
Wellington, Greta Point Cws,05/04/2018 11:00,16.3,1,15.6,1,-,-,16.0,83,1,H
Wellington, Greta Point Cws,05/04/2018 12:00,15.9,1,15.6,1,-,-,15.7,88,1,H
Wellington, Greta Point Cws,05/04/2018 13:00,15.9,1,15.4,1,-,-,15.6,88,1,H
Wellington, Greta Point Cws,05/04/2018 14:00,16.1,1,15.8,1,-,-,16.0,88,1,H
Wellington, Greta Point Cws,05/04/2018 15:00,16.2,1,15.8,1,-,-,16.0,87,1,H
Wellington, Greta Point Cws,05/04/2018 16:00,16.3,1,15.9,1,-,-,16.1,86,1,H
Wellington, Greta Point Cws,05/04/2018 17:00,16.9,1,16.2,1,-,-,16.5,86,1,H
Wellington, Greta Point Cws,05/04/2018 18:00,17.1,1,16.9,1,-,-,17.0,85,1,H
Wellington, Greta Point Cws,05/04/2018 19:00,17.2,1,16.7,1,-,-,17.0,83,1,H
Wellington, Greta Point Cws,05/04/2018 20:00,17.4,1,17.1,1,-,-,17.2,81,1,H
Wellington, Greta Point Cws,05/04/2018 21:00,18.8,1,17.2,1,-,-,18.1,74,1,H
Wellington, Greta Point Cws,05/04/2018 22:00,19.0,1,18.3,1,-,-,18.6,73,1,H
Wellington, Greta Point Cws,05/04/2018 23:00,19.9,1,19.0,1,-,-,19.5,70,1,H
Wellington, Greta Point Cws,06/04/2018 00:00,20.3,1,19.1,1,-,-,19.8,67,1,H
Wellington, Greta Point Cws,06/04/2018 01:00,20.3,1,19.8,1,-,-,20.0,64,1,H
Wellington, Greta Point Cws,06/04/2018 02:00,20.1,1,19.6,1,-,-,19.8,62,1,H
Wellington, Greta Point Cws,06/04/2018 03:00,20.0,1,19.0,1,-,-,19.3,62,1,H
Wellington, Greta Point Cws,06/04/2018 04:00,19.2,1,18.5,1,-,-,19.0,63,1,H
Wellington, Greta Point Cws,06/04/2018 05:00,18.6,1,17.5,1,-,-,18.2,68,1,H
Wellington, Greta Point Cws,06/04/2018 06:00,17.6,1,17.3,1,-,-,17.4,71,1,H
Wellington, Greta Point Cws,06/04/2018 07:00,17.4,1,17.1,1,-,-,17.2,71,1,H
Wellington, Greta Point Cws,06/04/2018 08:00,17.3,1,17.1,1,-,-,17.2,74,1,H
Wellington, Greta Point Cws,06/04/2018 09:00,17.2,1,17.1,1,-,-,17.1,76,1,H
Wellington, Greta Point Cws,06/04/2018 10:00,17.4,1,17.1,1,-,-,17.2,76,1,H
Wellington, Greta Point Cws,06/04/2018 11:00,17.5,1,17.1,1,-,-,17.3,71,1,H
Wellington, Greta Point Cws,06/04/2018 12:00,17.2,1,16.7,1,-,-,16.9,75,1,H
Wellington, Greta Point Cws,06/04/2018 13:00,16.9,1,16.6,1,-,-,16.7,74,1,H
Wellington, Greta Point Cws,06/04/2018 14:00,17.4,1,16.7,1,-,-,17.0,69,1,H
Wellington, Greta Point Cws,06/04/2018 15:00,17.4,1,17.2,1,-,-,17.3,69,1,H
Wellington, Greta Point Cws,06/04/2018 16:00,17.5,1,17.2,1,-,-,17.3,71,1,H
Wellington, Greta Point Cws,06/04/2018 17:00,17.6,1,17.3,1,-,-,17.4,74,1,H
Wellington, Greta Point Cws,06/04/2018 18:00,17.7,1,17.5,1,-,-,17.6,73,1,H
Wellington, Greta Point Cws,06/04/2018 19:00,17.7,1,17.4,1,-,-,17.5,78,1,H
Wellington, Greta Point Cws,06/04/2018 20:00,18.7,1,17.5,1,-,-,17.9,79,1,H
Wellington, Greta Point Cws,06/04/2018 21:00,19.4,1,18.7,1,-,-,19.1,74,1,H
Wellington, Greta Point Cws,06/04/2018 22:00,21.9,1,19.1,1,-,-,20.2,73,1,H
Wellington, Greta Point Cws,06/04/2018 23:00,22.7,1,16.1,1,-,-,19.7,70,1,H
Wellington, Greta Point Cws,07/04/2018 00:00,16.9,1,16.0,1,-,-,16.4,78,1,H
Wellington, Greta Point Cws,07/04/2018 01:00,16.3,1,16.0,1,-,-,16.1,78,1,H
Wellington, Greta Point Cws,07/04/2018 02:00,16.3,1,14.9,1,-,-,15.9,80,1,H
Wellington, Greta Point Cws,07/04/2018 03:00,14.9,1,12.8,1,-,-,13.7,88,1,H
Wellington, Greta Point Cws,07/04/2018 04:00,14.5,1,12.8,1,-,-,13.8,77,1,H
Wellington, Greta Point Cws,07/04/2018 05:00,14.5,1,14.1,1,-,-,14.3,71,1,H
Wellington, Greta Point Cws,07/04/2018 06:00,14.2,1,13.7,1,-,-,13.9,68,1,H
Wellington, Greta Point Cws,07/04/2018 07:00,13.7,1,13.6,1,-,-,13.6,69,1,H
Wellington, Greta Point Cws,07/04/2018 08:00,13.6,1,13.4,1,-,-,13.5,67,1,H
Wellington, Greta Point Cws,07/04/2018 09:00,13.6,1,13.4,1,-,-,13.5,68,1,H
Wellington, Greta Point Cws,07/04/2018 10:00,13.5,1,13.2,1,-,-,13.3,67,1,H
Wellington, Greta Point Cws,07/04/2018 11:00,13.3,1,13.0,1,-,-,13.1,67,1,H
Wellington, Greta Point Cws,07/04/2018 12:00,13.1,1,12.3,1,-,-,12.8,67,1,H
Wellington, Greta Point Cws,07/04/2018 13:00,12.4,1,10.6,1,-,-,11.6,72,1,H
Wellington, Greta Point Cws,07/04/2018 14:00,11.1,1,10.5,1,-,-,10.8,82,1,H
Wellington, Greta Point Cws,07/04/2018 15:00,11.8,1,10.9,1,-,-,11.4,81,1,H
Wellington, Greta Point Cws,07/04/2018 16:00,11.5,1,10.9,1,-,-,11.0,79,1,H
Wellington, Greta Point Cws,07/04/2018 17:00,11.9,1,11.1,1,-,-,11.6,79,1,H
Wellington, Greta Point Cws,07/04/2018 18:00,12.3,1,11.7,1,-,-,12.1,75,1,H
Wellington, Greta Point Cws,07/04/2018 19:00,12.5,1,12.2,1,-,-,12.3,73,1,H
Wellington, Greta Point Cws,07/04/2018 20:00,13.4,1,12.3,1,-,-,12.8,75,1,H
Wellington, Greta Point Cws,07/04/2018 21:00,15.4,1,13.4,1,-,-,14.5,74,1,H
Wellington, Greta Point Cws,07/04/2018 22:00,17.0,1,15.2,1,-,-,15.8,66,1,H
Wellington, Greta Point Cws,07/04/2018 23:00,18.4,1,16.9,1,-,-,17.6,61,1,H
Wellington, Greta Point Cws,08/04/2018 00:00,19.4,1,18.3,1,-,-,18.9,57,1,H
Wellington, Greta Point Cws,08/04/2018 01:00,18.9,1,17.5,1,-,-,18.1,61,1,H
Wellington, Greta Point Cws,08/04/2018 02:00,18.6,1,17.6,1,-,-,18.0,63,1,H
Wellington, Greta Point Cws,08/04/2018 03:00,18.8,1,17.9,1,-,-,18.4,55,1,H
Wellington, Greta Point Cws,08/04/2018 04:00,18.8,1,17.9,1,-,-,18.4,54,1,H
Wellington, Greta Point Cws,08/04/2018 05:00,18.0,1,16.8,1,-,-,17.2,62,1,H
Wellington, Greta Point Cws,08/04/2018 06:00,16.8,1,16.5,1,-,-,16.6,66,1,H
Wellington, Greta Point Cws,08/04/2018 07:00,16.7,1,16.4,1,-,-,16.6,67,1,H
Wellington, Greta Point Cws,08/04/2018 08:00,16.8,1,16.4,1,-,-,16.6,63,1,H
Wellington, Greta Point Cws,08/04/2018 09:00,16.9,1,16.6,1,-,-,16.7,65,1,H
Wellington, Greta Point Cws,08/04/2018 10:00,17.8,1,16.7,1,-,-,17.2,56,1,H
Wellington, Greta Point Cws,08/04/2018 11:00,17.9,1,16.8,1,-,-,17.3,60,1,H
Wellington, Greta Point Cws,08/04/2018 12:00,17.0,1,16.5,1,-,-,16.8,61,1,H
Wellington, Greta Point Cws,08/04/2018 13:00,16.7,1,16.4,1,-,-,16.5,65,1,H
Wellington, Greta Point Cws,08/04/2018 14:00,16.8,1,16.4,1,-,-,16.6,71,1,H
Wellington, Greta Point Cws,08/04/2018 15:00,16.5,1,16.1,1,-,-,16.3,78,1,H
Wellington, Greta Point Cws,08/04/2018 16:00,16.3,1,16.1,1,-,-,16.2,80,1,H
Wellington, Greta Point Cws,08/04/2018 17:00,16.3,1,15.8,1,-,-,16.1,82,1,H
Wellington, Greta Point Cws,08/04/2018 18:00,15.8,1,14.8,1,-,-,15.2,82,1,H
Wellington, Greta Point Cws,08/04/2018 19:00,14.9,1,14.7,1,-,-,14.8,79,1,H
Wellington, Greta Point Cws,08/04/2018 20:00,14.8,1,14.7,1,-,-,14.7,79,1,H
Wellington, Greta Point Cws,08/04/2018 21:00,15.2,1,14.7,1,-,-,15.0,76,1,H
Wellington, Greta Point Cws,08/04/2018 22:00,15.1,1,14.6,1,-,-,14.8,77,1,H
Wellington, Greta Point Cws,08/04/2018 23:00,16.4,1,14.9,1,-,-,15.3,75,1,H
Wellington, Greta Point Cws,09/04/2018 00:00,16.3,1,15.2,1,-,-,15.7,73,1,H
Wellington, Greta Point Cws,09/04/2018 01:00,16.8,1,15.2,1,-,-,16.1,71,1,H
Wellington, Greta Point Cws,09/04/2018 02:00,17.0,1,15.8,1,-,-,16.6,66,1,H
Wellington, Greta Point Cws,09/04/2018 03:00,16.0,1,14.7,1,-,-,15.5,71,1,H
Wellington, Greta Point Cws,09/04/2018 04:00,14.9,1,14.6,1,-,-,14.7,74,1,H
Wellington, Greta Point Cws,09/04/2018 05:00,14.8,1,14.4,1,-,-,14.6,76,1,H
Wellington, Greta Point Cws,09/04/2018 06:00,14.5,1,13.6,1,-,-,14.0,82,1,H
Wellington, Greta Point Cws,09/04/2018 07:00,13.6,1,13.3,1,-,-,13.4,89,1,H
