Station,Date(UTC),Amount(mm),Period(Hrs),Freq
"Wellington, Greta Point Cws",09/04/2018 03:00,0.0,1,H
"Wellington, Greta Point Cws",09/04/2018 04:00,0.0,1,H
"Wellington, Greta Point Cws",09/04/2018 05:00,0.0,1,H
"Wellington, Greta Point Cws",09/04/2018 06:00,1.0,1,H
"Wellington, Greta Point Cws",09/04/2018 07:00,0.4,1,H
"Wellington, Greta Point Cws",09/04/2018 08:00,0.2,1,H
"Wellington, Greta Point Cws",09/04/2018 09:00,0.8,1,H
"Wellington, Greta Point Cws",09/04/2018 10:00,1.6,1,H
"Wellington, Greta Point Cws",09/04/2018 11:00,4.8,1,H
"Wellington, Greta Point Cws",09/04/2018 12:00,8.4,1,H
"Wellington, Greta Point Cws",09/04/2018 13:00,0.4,1,H
"Wellington, Greta Point Cws",09/04/2018 14:00,0.0,1,H
"Wellington, Greta Point Cws",09/04/2018 15:00,0.2,1,H
"Wellington, Greta Point Cws",09/04/2018 16:00,0.8,1,H
"Wellington, Greta Point Cws",09/04/2018 17:00,0.2,1,H
"Wellington, Greta Point Cws",09/04/2018 18:00,2.2,1,H
"Wellington, Greta Point Cws",09/04/2018 19:00,5.2,1,H
"Wellington, Greta Point Cws",09/04/2018 20:00,6.4,1,H
"Wellington, Greta Point Cws",09/04/2018 21:00,1.0,1,H
"Wellington, Greta Point Cws",09/04/2018 22:00,1.4,1,H
"Wellington, Greta Point Cws",09/04/2018 23:00,0.0,1,H
"Wellington, Greta Point Cws",10/04/2018 00:00,0.6,1,H
"Wellington, Greta Point Cws",10/04/2018 01:00,0.4,1,H
"Wellington, Greta Point Cws",10/04/2018 02:00,1.4,1,H
"Wellington, Greta Point Cws",10/04/2018 03:00,1.8,1,H
"Wellington, Greta Point Cws",10/04/2018 04:00,2.0,1,H
"Wellington, Greta Point Cws",10/04/2018 05:00,1.8,1,H
"Wellington, Greta Point Cws",10/04/2018 06:00,0.6,1,H
"Wellington, Greta Point Cws",10/04/2018 07:00,0.8,1,H
